"","logFC","logCPM","LR","PValue","FDR"
"SH2B2",-0.176359282638949,3.04641889176786,1.44592708786247,0.229182611731806,0.99083117613231
"LOC729603",-0.302770550725773,1.6601537588003,1.44577471288467,0.229207147487172,0.99083117613231
"LOC441666",-0.31573428105307,1.11758178758662,1.44556423489923,0.229241044318471,0.99083117613231
"ATR",-0.104340095127479,5.69281339904881,1.44512743632028,0.229311408645396,0.99083117613231
"TMEM63A",-0.146423470036341,4.53622347007962,1.44441730640625,0.229425859709243,0.99083117613231
"PTK2B",-0.110457928772356,5.16377502858092,1.44378391048955,0.229528001659015,0.99083117613231
"RAB11FIP2",-0.138701378567496,4.49695472250184,1.44336397599046,0.229595750833494,0.99083117613231
"NUDT1",0.161377049633609,3.65656567549788,1.44116193222527,0.2299514070881,0.99083117613231
"PDHA1",0.0883853332835595,7.49834125800142,1.44111184461871,0.229959504548424,0.99083117613231
"NDEL1",0.104314891873389,5.86629654010848,1.44088744538328,0.229995786480466,0.99083117613231
"RALA",0.10478994682068,6.42017399351194,1.44076293535253,0.23001592082729,0.99083117613231
"MFAP1",0.0997826981238445,5.5490641646378,1.44041978489389,0.230071422210843,0.99083117613231
"TLR6",0.233574585088814,2.51476244949488,1.44036552901509,0.230080199069964,0.99083117613231
"ZSCAN31",0.136545477756696,4.72085449873053,1.44006186532939,0.230129329552226,0.99083117613231
"LTBP1",-0.106478038101072,5.60196552095499,1.43994402935973,0.230148397923024,0.99083117613231
"WDR25",0.158284696721834,3.97605710926664,1.43896272648381,0.230307267603871,0.99083117613231
"BTBD9",-0.31305724335675,1.3445130792124,1.43891248872638,0.230315404485486,0.99083117613231
"EPM2AIP1",-0.204671037144099,4.51263385247271,1.43883875392009,0.230327347751654,0.99083117613231
"RPL10",0.114488362489141,10.1070861578191,1.43878775813982,0.230335608278805,0.99083117613231
"SMG1P3",-0.250966502528595,2.95468808474067,1.43864310871177,0.230359041190119,0.99083117613231
"GATAD2A",-0.0931963140190963,6.95639632367,1.43855023467082,0.230374088109164,0.99083117613231
"ZNF326",0.114987690854093,4.97598229088556,1.43839400578786,0.230399402088264,0.99083117613231
"ATP5H",0.116335527519059,6.27164022280392,1.43824606348646,0.230423376471562,0.99083117613231
"PRCP",0.0990910069431243,6.2345361933849,1.43817902456554,0.230434241269633,0.99083117613231
"POLG2",0.172955686127745,4.86380518863325,1.43755223356045,0.230535853298432,0.99083117613231
"ZNF816",0.340178237923608,1.28619681779143,1.43716208409097,0.230599129528975,0.99083117613231
"EPOR",0.149875144315617,4.68141957774499,1.43672884038759,0.230669419512815,0.99083117613231
"MIR4763",-0.295842154037244,1.58213167192088,1.43441567602646,0.231045147518949,0.99083117613231
"SNRPB",0.107929334829915,7.5724632976321,1.43328497509876,0.231229076127282,0.99083117613231
"HAUS3",-0.147707344900486,3.95418233796747,1.43301772491824,0.231272574918064,0.99083117613231
"MTCH2",0.0919871936421638,7.30756982766768,1.4319504914701,0.231446380866362,0.99083117613231
"MIR17HG",-0.349370731555984,1.0910494667856,1.43076368920591,0.231639844444926,0.99083117613231
"PRDX1",0.120583258664296,8.81376701271245,1.43010098665269,0.23174795811788,0.99083117613231
"NR3C1",-0.114734706232074,8.06586826000731,1.42978159856848,0.231800085014123,0.99083117613231
"GAPVD1",-0.0992926060155173,7.1772389458203,1.42977090698984,0.231801830216887,0.99083117613231
"ADCY9",-0.11706685953167,6.2566653480702,1.42963795336424,0.231823533765437,0.99083117613231
"LHPP",0.204422168642262,3.02886266873564,1.42745569923235,0.232180118897708,0.99083117613231
"ITGB1BP1",0.111492818160249,6.52719935800927,1.4269371417186,0.232264949658728,0.99083117613231
"SCMH1",-0.139880354219978,4.46656955731188,1.42674371129373,0.232296602499094,0.99083117613231
"VASP",-0.0994475436219216,6.3255710859736,1.42629307026252,0.232370365330895,0.99083117613231
"ELMOD3",0.211087071714195,2.39541566044229,1.42578273875752,0.232453932697986,0.99083117613231
"DZIP3",0.141335797215269,4.44926902219094,1.42547721296023,0.232503980260241,0.99083117613231
"C1orf35",0.130764049285395,4.61896844980817,1.42513669667105,0.23255977487521,0.99083117613231
"PPWD1",0.107084723028063,5.59272132075809,1.42476379732207,0.23262089409875,0.99083117613231
"TIGD6",0.26937654690784,1.76142229815968,1.42398349360255,0.232748850784178,0.99083117613231
"MAGOH",0.119021056106436,5.44988677707897,1.42366141588869,0.23280169089332,0.99083117613231
"CNTF",-0.318910283595492,1.23581509532857,1.42359113284125,0.232813223464265,0.99083117613231
"TBC1D25",-0.111211676176728,5.15868785627937,1.42342785839583,0.232840017426439,0.99083117613231
"PBRM1",-0.104818133770813,5.88156404097996,1.42326488017822,0.232866766490707,0.99083117613231
"ALKBH3",0.116778727378564,5.20366252125827,1.42264407109096,0.232968691790291,0.99083117613231
"LINC00094",-0.17416149741979,3.61574709338546,1.42259220027415,0.232977210452141,0.99083117613231
"DGCR14",0.13852064402052,4.00914407336868,1.4215176033311,0.233153774471495,0.99083117613231
"PPIA",0.124120823749697,10.7385850641719,1.42144308273583,0.233166024734633,0.99083117613231
"SRP9",0.0923173870670976,8.1076224593552,1.41977375388282,0.233440645658808,0.99083117613231
"SVIL",-0.118789367332697,6.8946961542905,1.41829171847582,0.23368478256306,0.99083117613231
"TMEM201",-0.120736767710352,5.03948284718571,1.41801021047578,0.233731190472724,0.99083117613231
"EIF3M",0.0970906943329168,7.93246314978462,1.41781120577434,0.233764004048854,0.99083117613231
"ACBD7",0.196498366420551,3.02349945782771,1.41730119992333,0.233848123545884,0.99083117613231
"ZNF235",0.35584224442793,1.01521002762732,1.41705137071656,0.233889343301965,0.99083117613231
"MIR6869",0.115695736853341,7.7427311802949,1.41612479124058,0.234042297982816,0.99083117613231
"HIF1AN",-0.125470856701369,5.40398023459042,1.41535273996606,0.23416983636149,0.99083117613231
"EXOC8",-0.148179899890655,4.52883816818347,1.41460234956108,0.234293877031732,0.99083117613231
"ITPK1",-0.132609933662956,4.93599429399387,1.41425235191394,0.234351759344179,0.99083117613231
"NEBL",-0.102977913348038,6.11575988888042,1.41400971012961,0.234391897385895,0.99083117613231
"SNHG15",0.113719325142733,6.01728591645213,1.41380169284089,0.234426314428796,0.99083117613231
"CDH23",-0.327244930451824,1.04564587071949,1.41368021385018,0.234446416294823,0.99083117613231
"KCTD21-AS1",-0.366702269898734,0.180323138052168,1.41264872576627,0.234617186924349,0.99083117613231
"TTI2",0.178569086040262,3.00435710807112,1.41225472910958,0.234682455750569,0.99083117613231
